,tweetID,tweetText,tweetRetweetCt,tweetFavoriteCt
101,1.29e+18,#Uganda: Agataliikonfuufu:      Abantu e Kyotera basaba omuggalo gubaggyiibweeko. https://t.co/dWZBtGmmmB,0,0
102,1.29e+18,#Uganda: Agataliikonfuufu:   Afulumira ku lubuto asiibuuddwa talongoseddwa. https://t.co/ZEjrD0k9vY,0,0
103,1.29e+18,#Uganda: Agataliikonfuufu:  Ateeberezebwa okuba ne COVID 19 afudde. https://t.co/6gXgj9TOnw,0,0
104,1.29e+18,#Uganda: Agataliikonfuufu:     Abasubuuzi bakyekalakaasa lwa za bupangisa. https://t.co/kVb32CbTKr,0,0
105,1.29e+18,#Uganda: Agataliikonfuufu:  Abaagala obubaka bakyaggyayo empapula. https://t.co/hvodVKo5zQ,0,0
106,1.29e+18,#Uganda: Agataliikonfuufu:   Abaakaayanira omwana mu 2015 ssibamativu. https://t.co/e0sS75CEmw,0,0
107,1.29e+18,#Uganda: Agataliikonfuufu:       Gavumenti etongozza ekidyeri. https://t.co/zr7t6LcNs9,0,0
108,1.29e+18,#Uganda: Agataliikonfuufu:     Munnabyanfuna Ssentongo awandiise ekitabo. https://t.co/JSVcgJRd8F,0,0
109,1.29e+18,"#Agataliikonfuufu: Tugatandise tweyungeko
https://t.co/Fgt3GclI1Q",0,1
110,1.29e+18,#Uganda: Agataliikonfuufu:  Omubaka Ssekindi attukizza okubanja. https://t.co/krggzrEmct,0,0
111,1.29e+18,#Uganda: Agataliikonfuufu:  Okwetegekera amatikkira ga Kabaka. https://t.co/unZ9iGewPU,0,0
112,1.29e+18,#Uganda: Agataliikonfuufu:   Abakyala balajaanidde abakulembeze. https://t.co/SJBYP2oxc1,0,0
113,1.29e+18,#Uganda: Agataliikonfuufu: Okwewandiisa mu kamyufu ka NRM. https://t.co/N3FW72eLuT,0,0
114,1.29e+18,#Uganda: Agataliikonfuufu:  SPORTS:  Jamil Salim : Akwatira Kiraabu ya Al- Hital eya Sudan . https://t.co/aRHO0w7gxM,0,0
115,1.29e+18,#Agataliikonfuufu:   Abakyala balajaanidde abakulembeze. https://t.co/0HTOztO5xu via @YouTube,0,2
116,1.29e+18,#Agataliikonfuufu:  Okwetegekera amatikkira ga Kabaka. https://t.co/JZvikFybaJ via @YouTube,0,1
117,1.29e+18,#Agataliikonfuufu:  Omubaka Ssekindi attukizza okubanja. https://t.co/YQ2QBxXA4i via @YouTube,0,1
118,1.29e+18,#Agataliikonfuufu:  Aba Lions Club badduukiridde abakyala. https://t.co/E6lcmp3hAt via @YouTube,0,1
119,1.29e+18,#Agataliikonfuufu:  Omusumba Mafabi akubirirzza Abadiventi. https://t.co/IIW8RgDwBM via @YouTube,0,1
120,1.29e+18,#Agataliikonfuufu:  Ssentebe  eyasangiddwa ng'afudde aziikiddwa. https://t.co/CFZpD5awNc via @YouTube,0,2
121,1.29e+18,#Agataliikonfuufu:  Enkayaana z'ettaka zirinnye enkandaggo. https://t.co/JVqFBtKr4P via @YouTube,0,1
122,1.29e+18,#Agataliikonfuufu:  Eby'omwana akaayanirwa biranze . https://t.co/mxyLZSULvz via @YouTube,0,1
123,1.29e+18,#Agataliikonfuufu:  Pulezidenti akungubagidde Benjamin Mkapa. https://t.co/VQsU8ek6qr via @YouTube,0,1
124,1.29e+18,#Agataliikonfuufu:  Omuliro gukutte ekizinga bya bukadde ne bisaanaawo https://t.co/kaMXEbriKS via @YouTube,0,1
125,1.29e+18,#Agataliikonfuufu: Twegatteko https://t.co/YQuKNen2iT,0,6
126,1.29e+18,#Uganda: Agataliikonfuufu:  SPORTS: Ssentebe wa NCs Dr. Rukare alambudde aba WoodBall. https://t.co/lGMmzr5GMf,0,0
127,1.29e+18,#Agataliikonfuufu:  SPORTS: Ssentebe wa NCS Dr. Rukare alambudde aba Wood... https://t.co/2iqHWo9MQt via @YouTube,0,0
128,1.29e+18,#Agataliikonfuufu:   Ssemaka attiddwa n'asuulibwa mu nsiko. https://t.co/Yim7ME6HvU via @YouTube,0,0
129,1.29e+18,#Agataliikonfuufu:  Omuyimbi Eddy Kenzo akomyeewo kuno. https://t.co/LBR5smGs34 via @YouTube,0,0
130,1.29e+18,#Agataliikonfuufu: Poliisi erwanaganye n'abeekalakaasi. https://t.co/sunTIJ1UJE via @YouTube,0,0
131,1.29e+18,#Agataliikonfuufu: Munnabyanfuna Ssentongo awandiise ekitabo. https://t.co/nIYBhZUaDs via @YouTube,0,0
132,1.29e+18,#Agataliikonfuufu:  Gavumenti etongozza ekidyeri. https://t.co/fmje7lyT1W via @YouTube,0,0
133,1.29e+18,#Agataliikonfuufu:   Abaakaayanira omwana mu 2015 ssibamativu. https://t.co/p6sYUGOn3l via @YouTube,0,0
134,1.29e+18,#Agataliikonfuufu:  Abaagala obubaka bakyaggyayo empapula. https://t.co/C042VwyAbX via @YouTube,0,1
135,1.29e+18,#Agataliikonfuufu:  Abasubuuzi bakyekalakaasa lwa za bupangisa. https://t.co/0szQQRDjzX via @YouTube,0,1
136,1.29e+18,#Agataliikonfuufu:  Yaaya alumirizza Ssemaka okumusoobeerera. https://t.co/h1niJfAf7m via @YouTube,0,0
